"Chr"	"Start"	"End"	"Conc"	"Conc_virus"	"Conc_mock"	"Fold"	"p-value"	"FDR"
"16157"	"chr17"	46977389	46977644	3.14	1.94	3.79	-1.85	5.82e-05	0.00798
"20146"	"chr2"	42813082	42813457	3.48	2.51	4.05	-1.54	5.83e-05	0.00798
"24987"	"chr22"	45502601	45502922	4.33	4.81	3.6	1.21	5.86e-05	0.008
"27650"	"chr4"	6917488	6918192	3.45	2.02	4.16	-2.14	5.88e-05	0.008
"7201"	"chr11"	78715771	78716066	5.37	5.77	4.82	0.94	6.1e-05	0.00824
"24710"	"chr22"	36124027	36124538	5.93	6.3	5.42	0.88	6.1e-05	0.00824
"30304"	"chr5"	114447138	114447430	2.45	1.55	3	-1.45	6.15e-05	0.00827
"16525"	"chr17"	63857107	63857466	3.97	2.61	4.66	-2.04	6.2e-05	0.00827
"14188"	"chr16"	30430108	30430683	5.15	5.59	4.5	1.09	6.22e-05	0.00827
"26899"	"chr3"	150221277	150221685	6.42	6.8	5.92	0.88	6.22e-05	0.00827
"11568"	"chr14"	70567947	70568216	3.57	2.53	4.17	-1.64	6.25e-05	0.00827
"16436"	"chr17"	59521513	59521848	5.67	6.04	5.18	0.87	6.29e-05	0.00827
"20241"	"chr2"	47272338	47273000	6.26	6.53	5.93	0.61	6.3e-05	0.00827
"23952"	"chr21"	31874022	31874529	5.87	6.28	5.31	0.96	6.34e-05	0.00827
"16847"	"chr17"	77280889	77281320	3.68	4.25	2.72	1.53	6.34e-05	0.00827
"31382"	"chr6"	1604276	1604711	5.7	6.06	5.22	0.84	6.35e-05	0.00827
"20254"	"chr2"	48106520	48106976	5.69	6.09	5.14	0.95	6.36e-05	0.00827
"30955"	"chr5"	154467662	154468261	5.92	6.3	5.41	0.89	6.37e-05	0.00827
"30360"	"chr5"	122458292	122458581	3.6	2.38	4.26	-1.88	6.39e-05	0.00827
"16662"	"chr17"	71085312	71085533	3.49	4.2	2.06	2.14	6.45e-05	0.0083
"8839"	"chr12"	53984822	53985129	5.01	5.51	4.24	1.28	6.45e-05	0.0083
"27284"	"chr3"	184811949	184812215	4.61	5.1	3.86	1.24	6.57e-05	0.0084
"24602"	"chr22"	30262428	30263204	6.04	6.35	5.63	0.72	6.58e-05	0.0084
"32123"	"chr6"	41027819	41028591	6.52	6.8	6.17	0.63	6.6e-05	0.0084
"27427"	"chr3"	195106312	195106960	6.64	6.89	6.33	0.57	6.73e-05	0.00855
"6901"	"chr11"	67351063	67351516	5.8	6.19	5.28	0.91	6.83e-05	0.00864
"12556"	"chr15"	45705662	45706259	5.12	5.55	4.51	1.05	6.86e-05	0.00865
"18015"	"chr19"	3484969	3485448	6.01	6.31	5.63	0.69	6.89e-05	0.00866
"25039"	"chr22"	49929086	49929878	5.8	6.16	5.31	0.85	6.93e-05	0.00867
"38008"	"chr9"	81103931	81104171	2.71	1.22	3.42	-2.21	6.94e-05	0.00867
"6905"	"chr11"	67374179	67374470	4.37	4.87	3.62	1.25	6.99e-05	0.00871
"22551"	"chr2"	238107313	238107510	2.38	0.99	3.07	-2.08	7.01e-05	0.00871
"3416"	"chr1"	209875582	209875854	3.27	1.79	3.98	-2.19	7.06e-05	0.00871
"15952"	"chr17"	41662547	41663094	7.24	7.55	6.84	0.71	7.06e-05	0.00871
"8773"	"chr12"	52278955	52279601	6.75	7.02	6.41	0.6	7.08e-05	0.00871
"24423"	"chr22"	22709801	22711256	6.78	7.05	6.44	0.61	7.1e-05	0.00871
"4675"	"chr10"	68550642	68551171	5.09	4.09	5.68	-1.59	7.14e-05	0.00871
"26708"	"chr3"	134640988	134641251	3.59	2.53	4.19	-1.66	7.14e-05	0.00871
"6969"	"chr11"	69643373	69643905	5.69	6.03	5.23	0.8	7.18e-05	0.00873
"26881"	"chr3"	149489123	149489551	4.06	3.15	4.62	-1.46	7.21e-05	0.00874
"6058"	"chr11"	12412163	12412645	5.51	5.87	5.04	0.83	7.32e-05	0.00884
"13014"	"chr15"	73717835	73718081	2.38	1.55	2.9	-1.36	7.41e-05	0.0089
"19454"	"chr19"	52095810	52096002	2.54	3.27	1.01	2.26	7.41e-05	0.0089
"12413"	"chr15"	40279323	40279741	6.59	6.94	6.11	0.83	7.45e-05	0.00892
"13470"	"chr15"	92809077	92809466	6.21	6.52	5.82	0.71	7.48e-05	0.00894
"16922"	"chr17"	79839639	79840076	5.56	6	4.91	1.09	7.51e-05	0.00894
"15120"	"chr17"	2095007	2095328	4.32	3.17	4.95	-1.77	7.57e-05	0.00899
"328"	"chr1"	11060053	11060361	4.16	4.66	3.4	1.26	7.66e-05	0.00907
"3626"	"chr1"	225474904	225475326	7.08	7.44	6.6	0.84	7.75e-05	0.0091
"2358"	"chr1"	151693109	151693364	4.1	3.08	4.7	-1.62	7.75e-05	0.0091
"11912"	"chr14"	96225826	96226066	3.33	2.17	3.97	-1.79	7.76e-05	0.0091
"9784"	"chr12"	121110342	121110897	5.99	6.34	5.54	0.79	7.79e-05	0.00912
"24662"	"chr22"	32413640	32414026	3.45	2.49	4.02	-1.54	7.91e-05	0.00921
"25879"	"chr3"	54999198	54999520	3.59	2.35	4.25	-1.9	7.91e-05	0.00921
"22045"	"chr2"	205720940	205721332	3.38	2.39	3.96	-1.57	8.01e-05	0.00929
"24687"	"chr22"	35150573	35150842	5.22	5.78	4.28	1.5	8.1e-05	0.00936
"35193"	"chr7"	130875205	130875606	5.47	5.97	4.72	1.25	8.14e-05	0.00939
"33174"	"chr6"	138403943	138404603	5.32	5.73	4.76	0.96	8.22e-05	0.00945
"306"	"chr1"	10032501	10032818	5.27	5.67	4.72	0.95	8.28e-05	0.00949
"24764"	"chr22"	37623381	37624092	6.4	6.63	6.13	0.5	8.45e-05	0.00966
"1801"	"chr1"	94330038	94330416	2.88	1.53	3.56	-2.03	8.83e-05	0.01
"18432"	"chr19"	13903170	13903463	2.96	1.89	3.57	-1.68	8.85e-05	0.01
"4287"	"chr10"	30687482	30688051	6.38	6.68	6.01	0.68	8.85e-05	0.01
"31709"	"chr6"	26055412	26055624	2.05	2.77	0.55	2.22	9.03e-05	0.0102
"35082"	"chr7"	123635614	123635849	3.09	1.48	3.83	-2.35	9.09e-05	0.0102
"23249"	"chr20"	38860372	38860715	3.42	2.02	4.12	-2.1	9.11e-05	0.0102
"14403"	"chr16"	57168060	57168376	3.93	2.98	4.5	-1.52	9.12e-05	0.0102
"24772"	"chr22"	37735168	37735503	3.59	2.7	4.14	-1.44	9.12e-05	0.0102
"9724"	"chr12"	118377871	118378213	5.91	6.34	5.29	1.05	9.14e-05	0.0102
"2491"	"chr1"	155323283	155323789	6.07	6.43	5.58	0.85	9.3e-05	0.0103
"38656"	"chr9"	126558050	126558392	6.58	6.92	6.13	0.79	9.3e-05	0.0103
"26394"	"chr3"	115092204	115092434	2.53	3.12	1.5	1.62	9.39e-05	0.0104
"8949"	"chr12"	57124276	57124605	6.11	6.49	5.59	0.9	9.4e-05	0.0104
"4072"	"chr10"	13518156	13518420	3.61	2.59	4.21	-1.62	9.45e-05	0.0104
"28524"	"chr4"	109433317	109433902	6.16	6.56	5.61	0.96	9.48e-05	0.0104
"10880"	"chr14"	20855739	20856198	3.57	2.38	4.21	-1.83	9.52e-05	0.0104
"13020"	"chr15"	73936315	73936606	3.44	1.93	4.17	-2.23	9.55e-05	0.0104
"30450"	"chr5"	132134511	132134712	2.3	0.99	2.97	-1.99	9.58e-05	0.0104
"13375"	"chr15"	88911063	88911308	3.24	2.28	3.81	-1.52	9.62e-05	0.0104
"1168"	"chr1"	43529136	43529462	5.94	6.28	5.5	0.79	9.69e-05	0.0104
"36977"	"chr8"	123154809	123155226	4.51	3.65	5.04	-1.39	9.69e-05	0.0104
"31841"	"chr6"	31058381	31058607	3.67	4.39	2.21	2.17	9.7e-05	0.0104
"15301"	"chr17"	8158782	8159235	5.7	6.07	5.21	0.86	9.71e-05	0.0104
"2521"	"chr1"	156360026	156360271	2.5	1.29	3.15	-1.86	9.81e-05	0.0105
"22446"	"chr2"	232521905	232523059	5.91	6.24	5.49	0.75	9.85e-05	0.0105
"1935"	"chr1"	109498127	109498632	4.91	4.23	5.37	-1.14	9.98e-05	0.0106
"21236"	"chr2"	128736555	128737092	6.66	6.94	6.31	0.63	9.99e-05	0.0106
"18918"	"chr19"	40420640	40421022	6.38	6.73	5.9	0.83	0.000101	0.0107
"1376"	"chr1"	54489370	54489923	5.98	6.38	5.42	0.96	0.000101	0.0107
"25267"	"chr3"	13648244	13649037	6.72	6.9	6.5	0.41	0.000102	0.0108
"33212"	"chr6"	142232388	142232864	4.75	4.13	5.19	-1.06	0.000103	0.0109
"17277"	"chr18"	23053890	23054224	3.85	2.59	4.51	-1.92	0.000105	0.011
"37250"	"chr8"	143485062	143485482	3.34	2.36	3.93	-1.57	0.000105	0.011
"16869"	"chr17"	78187003	78187304	5.46	5.84	4.94	0.9	0.000106	0.011
"19434"	"chr19"	51169360	51169695	5.61	5.98	5.11	0.87	0.000107	0.0111
"5606"	"chr10"	123559355	123559940	6.23	6.57	5.79	0.78	0.000107	0.0111
"32155"	"chr6"	42086394	42086606	2.64	1.7	3.2	-1.5	0.000107	0.0111
"11910"	"chr14"	96098733	96099147	5.1	4.43	5.56	-1.13	0.000108	0.0112
"18232"	"chr19"	9885114	9885395	2.92	1.53	3.61	-2.08	0.000109	0.0112
"23596"	"chr20"	58209840	58210437	7.2	7.53	6.78	0.75	0.00011	0.0113
"28089"	"chr4"	55546748	55547218	4.67	5.16	3.92	1.25	0.000111	0.0113
"7512"	"chr11"	111931824	111932087	4.55	5.06	3.75	1.32	0.000112	0.0114
"38766"	"chr9"	129887860	129888097	2.93	1.64	3.6	-1.96	0.000112	0.0114
"31295"	"chr5"	179342718	179342991	3.36	2.02	4.05	-2.03	0.000114	0.0115
"8150"	"chr12"	7060441	7060895	5.16	4.16	5.74	-1.58	0.000114	0.0115
"801"	"chr1"	27643730	27644391	5.01	4.45	5.4	-0.95	0.000114	0.0115
"6798"	"chr11"	65315544	65316133	6.26	6.61	5.8	0.81	0.000114	0.0115
"9833"	"chr12"	122859976	122860555	6.14	6.45	5.75	0.71	0.000115	0.0116
"18379"	"chr19"	12825542	12825865	4.41	4.9	3.66	1.23	0.000116	0.0117
"30466"	"chr5"	132419666	132419972	5.68	6.02	5.24	0.78	0.000117	0.0118
"6595"	"chr11"	59206656	59206977	3.88	3.04	4.41	-1.37	0.000121	0.0121
"32003"	"chr6"	35327492	35327836	4.55	3.85	5.02	-1.18	0.000121	0.0121
"31213"	"chr5"	176448072	176448444	6.57	6.94	6.07	0.87	0.000122	0.0121
"31373"	"chr6"	1397032	1397505	5.87	6.23	5.37	0.86	0.000124	0.0123
"21437"	"chr2"	152715897	152716174	4.61	5.06	3.97	1.09	0.000127	0.0125
"22338"	"chr2"	227471724	227472284	6.7	7	6.32	0.68	0.000127	0.0125
"460"	"chr1"	16963441	16963812	4.68	3.85	5.2	-1.35	0.000127	0.0125
"35568"	"chr7"	155344874	155345264	6.44	6.76	6.03	0.73	0.000127	0.0125
"34749"	"chr7"	99580110	99580432	4.65	5.07	4.03	1.04	0.000128	0.0125
"729"	"chr1"	26164171	26164787	5.54	5.88	5.1	0.78	0.000129	0.0125
"18087"	"chr19"	4927500	4927786	3.4	2.54	3.94	-1.41	0.000129	0.0125
"9019"	"chr12"	62435668	62436254	4.52	3.78	5	-1.23	0.000129	0.0125
"11590"	"chr14"	72904956	72905283	5.86	6.28	5.26	1.02	0.000129	0.0125
"18581"	"chr19"	18277506	18277775	3.38	1.84	4.1	-2.26	0.00013	0.0125
"13441"	"chr15"	90956321	90957034	6.44	6.79	5.98	0.8	0.00013	0.0126
"25042"	"chr22"	49979513	49979903	3.84	3.03	4.36	-1.34	0.00013	0.0126
"22411"	"chr2"	231672961	231673173	3.05	1.59	3.76	-2.16	0.000131	0.0126
"5714"	"chr10"	132836615	132837284	5.89	6.22	5.46	0.75	0.000132	0.0126
"15533"	"chr17"	20009118	20009977	6.31	6.67	5.82	0.86	0.000133	0.0126
"24721"	"chr22"	36511017	36511290	4.04	3.06	4.62	-1.57	0.000133	0.0126
"11316"	"chr14"	55051396	55051815	6.57	6.89	6.17	0.71	0.000133	0.0127
"145"	"chr1"	3614879	3615493	4.79	4.11	5.25	-1.14	0.000135	0.0129
"15100"	"chr17"	1720623	1721284	6.35	6.66	5.96	0.7	0.000137	0.013
"21058"	"chr2"	112645350	112645829	4.53	4.98	3.86	1.12	0.000138	0.013
"10865"	"chr13"	114352522	114353130	4.13	4.65	3.29	1.37	0.000138	0.013
"32616"	"chr6"	89122693	89122928	3	2.14	3.54	-1.39	0.000139	0.0131
"14134"	"chr16"	28977793	28978120	3.29	3.93	2.11	1.82	0.000142	0.0133
"3380"	"chr1"	207963549	207963940	6.15	6.48	5.73	0.75	0.000142	0.0133
"12412"	"chr15"	40274579	40275087	6.84	7.16	6.43	0.74	0.000144	0.0135
"19856"	"chr2"	20593665	20593916	3.08	1.71	3.77	-2.06	0.000145	0.0135
"27545"	"chr4"	2535434	2535650	2.25	2.93	0.89	2.04	0.000146	0.0135
"10788"	"chr13"	110363064	110363329	2.55	1.22	3.23	-2.01	0.000146	0.0135
"20602"	"chr2"	75481007	75481261	2.63	1.42	3.28	-1.86	0.000149	0.0138
"2989"	"chr1"	183227996	183228325	4.78	4.22	5.19	-0.97	0.000149	0.0138
"7567"	"chr11"	115360516	115360757	2.15	1.07	2.76	-1.69	0.00015	0.0138
"34264"	"chr7"	45259744	45260614	6.71	7.08	6.22	0.85	0.000152	0.0139
"25048"	"chr22"	50142148	50142386	2.9	3.52	1.79	1.73	0.000153	0.014
"21322"	"chr2"	136423325	136423790	5.51	5.87	5.02	0.85	0.000153	0.014
"1062"	"chr1"	39507260	39507491	3.01	2.18	3.54	-1.36	0.000153	0.014
"3940"	"chr10"	988050	988411	2.88	3.48	1.83	1.64	0.000154	0.014
"25001"	"chr22"	46006111	46007037	6.45	6.74	6.1	0.64	0.000154	0.014
"30519"	"chr5"	134738207	134738533	5.39	5.86	4.69	1.16	0.000155	0.014
"8527"	"chr12"	42482625	42483113	5.76	6.16	5.2	0.96	0.000155	0.014
"18259"	"chr19"	10416373	10417371	7.27	7.57	6.89	0.68	0.000156	0.014
"2887"	"chr1"	176897789	176898294	5.85	6.21	5.37	0.83	0.000157	0.0141
"28583"	"chr4"	113394741	113395013	4.18	4.62	3.56	1.06	0.000157	0.0141
"19692"	"chr2"	8685585	8686137	6.2	6.48	5.84	0.64	0.000157	0.0141
"38251"	"chr9"	97710385	97710939	5.32	5.72	4.75	0.98	0.000159	0.0142
"839"	"chr1"	29202873	29203419	6.32	6.62	5.95	0.67	0.000159	0.0142
"24894"	"chr22"	41696889	41697825	6.64	6.85	6.39	0.45	0.000159	0.0142
"4443"	"chr10"	46787312	46787515	2.6	1.55	3.21	-1.66	0.00016	0.0142
"12079"	"chr14"	104820745	104821057	4.85	4.22	5.28	-1.06	0.000161	0.0142
"31881"	"chr6"	31772901	31773136	3.51	2.28	4.17	-1.88	0.000162	0.0143
"21171"	"chr2"	121297316	121297823	4.77	4	5.27	-1.26	0.000162	0.0143
"7520"	"chr11"	112279905	112280378	6.38	6.7	5.96	0.74	0.000162	0.0143
"4689"	"chr10"	69407814	69408057	2.36	1.22	2.98	-1.77	0.000162	0.0143
"5551"	"chr10"	119199387	119199729	4.75	4.01	5.24	-1.23	0.000163	0.0143
"25968"	"chr3"	62109519	62109984	3.35	2.56	3.86	-1.3	0.000164	0.0143
"1058"	"chr1"	39204335	39204665	3.48	1.97	4.2	-2.23	0.000164	0.0143
"20092"	"chr2"	38536000	38536460	6	6.34	5.56	0.79	0.000165	0.0143
"26990"	"chr3"	157081705	157082224	6.37	6.73	5.89	0.84	0.000165	0.0143
"14752"	"chr16"	78099559	78100455	6.33	6.65	5.9	0.75	0.000167	0.0145
"6903"	"chr11"	67356700	67357222	5.97	6.33	5.49	0.84	0.000168	0.0145
"23251"	"chr20"	38925929	38926327	6.19	6.58	5.64	0.95	0.000168	0.0145
"1055"	"chr1"	39183676	39184027	3.45	4.04	2.44	1.6	0.000168	0.0145
"18601"	"chr19"	18437272	18437573	3.08	3.71	1.91	1.8	0.000169	0.0145
"33434"	"chr6"	158704178	158704581	6.49	6.81	6.08	0.73	0.000169	0.0145
"20046"	"chr2"	33412914	33413211	2.97	1.7	3.64	-1.94	0.000171	0.0146
"23254"	"chr20"	39048017	39048613	6.56	6.87	6.17	0.71	0.000173	0.0148
"38887"	"chr9"	134175830	134176328	2.94	1.53	3.64	-2.11	0.000173	0.0148
"38781"	"chr9"	130461026	130461498	6.26	6.6	5.8	0.8	0.000175	0.0148
"38267"	"chr9"	98215878	98216189	3.59	2.56	4.18	-1.62	0.000175	0.0149
"13168"	"chr15"	78422825	78423212	5.96	6.31	5.5	0.81	0.000176	0.0149
"36685"	"chr8"	97375679	97376053	4.45	3.64	4.96	-1.31	0.000178	0.015
"24759"	"chr22"	37561719	37562164	5.99	6.33	5.54	0.79	0.000178	0.015
"23945"	"chr21"	31347510	31347722	3.25	2.25	3.83	-1.58	0.000178	0.015
"30615"	"chr5"	139517918	139518563	6.33	6.72	5.81	0.91	0.000181	0.0152
"10345"	"chr13"	46893975	46894509	6.31	6.65	5.87	0.78	0.000183	0.0152
"17021"	"chr17"	82236190	82236812	6.28	6.65	5.78	0.87	0.000183	0.0152
"25768"	"chr3"	50246136	50246889	6.87	7.12	6.56	0.56	0.000183	0.0152
"13599"	"chr16"	397798	398391	3.65	2.24	4.35	-2.11	0.000183	0.0152
"271"	"chr1"	9058565	9058785	3.07	1.75	3.75	-2	0.000183	0.0152
"38463"	"chr9"	114264070	114264479	3.2	1.89	3.88	-1.99	0.000184	0.0152
"6985"	"chr11"	69915297	69915780	5.61	5.96	5.15	0.81	0.000184	0.0152
"12377"	"chr15"	38414379	38414696	4.26	3.3	4.83	-1.53	0.000184	0.0152
"31126"	"chr5"	172106615	172107356	6.69	7.01	6.29	0.72	0.000186	0.0153
"36188"	"chr8"	41528769	41529149	5.88	6.17	5.51	0.66	0.000186	0.0153
"31186"	"chr5"	174571696	174571959	3.26	1.93	3.94	-2.01	0.000187	0.0153
"273"	"chr1"	9110587	9111156	6	6.35	5.54	0.82	0.00019	0.0155
"31214"	"chr5"	176542991	176543334	3.58	4.16	2.62	1.53	0.00019	0.0155
"10164"	"chr13"	31742164	31742611	5.85	6.2	5.38	0.82	0.000191	0.0155
"29794"	"chr5"	59809796	59810309	5.54	5.97	4.93	1.04	0.000191	0.0155
"11875"	"chr14"	94001817	94002160	6.07	6.39	5.66	0.73	0.000191	0.0155
"6033"	"chr11"	11622055	11622356	4.13	4.69	3.18	1.51	0.000192	0.0156
"30623"	"chr5"	139670702	139670917	2.2	1.14	2.8	-1.66	0.000194	0.0157
"1945"	"chr1"	109789145	109789573	3.57	2.35	4.23	-1.88	0.000194	0.0157
"7552"	"chr11"	114262764	114263006	3.86	3.16	4.33	-1.17	0.000195	0.0157
"24889"	"chr22"	41576738	41577339	4.06	2.77	4.73	-1.96	0.000195	0.0157
"12675"	"chr15"	55897567	55898092	5.44	5.78	5	0.78	0.000196	0.0157
"19501"	"chr19"	54180050	54180332	3.5	2.78	3.98	-1.19	0.000197	0.0158
"10766"	"chr13"	108508356	108508583	2.68	1.35	3.36	-2.01	0.000198	0.0159
"27141"	"chr3"	171460466	171461097	3.19	2.02	3.82	-1.8	0.000203	0.0161
"29922"	"chr5"	72955785	72956118	5.45	5.82	4.94	0.88	0.000203	0.0161
"5497"	"chr10"	115948484	115948762	3.05	2.21	3.58	-1.37	0.000203	0.0161
"17789"	"chr18"	76686774	76687040	4.38	3.68	4.85	-1.17	0.000206	0.0163
"30246"	"chr5"	108748896	108749273	2.68	3.3	1.57	1.73	0.000206	0.0163
"27406"	"chr3"	194315584	194316013	5.98	6.3	5.58	0.71	0.000206	0.0163
"33449"	"chr6"	159217586	159217795	2.56	1.35	3.21	-1.86	0.000207	0.0163
"5467"	"chr10"	113563329	113564058	6.5	6.8	6.12	0.68	0.000207	0.0163
"25834"	"chr3"	52278764	52279087	4.78	5.26	4.05	1.21	0.000208	0.0163
"27091"	"chr3"	168040669	168040962	3.72	2.7	4.32	-1.62	0.000208	0.0163
"23605"	"chr20"	58637164	58637380	2.65	1.42	3.31	-1.89	0.000209	0.0163
"10430"	"chr13"	52809408	52809611	3.4	3.98	2.39	1.59	0.000209	0.0164
"23334"	"chr20"	44718027	44718354	3.23	2.14	3.85	-1.71	0.000211	0.0164
"16293"	"chr17"	50198238	50198567	5.22	5.64	4.62	1.02	0.000212	0.0164
"32195"	"chr6"	43506718	43507275	6.16	6.6	5.55	1.05	0.000212	0.0164
"14787"	"chr16"	81697273	81697660	4.5	3.88	4.93	-1.05	0.000213	0.0165
"9524"	"chr12"	107402504	107402753	4	3.34	4.45	-1.11	0.000213	0.0165
"18913"	"chr19"	40226051	40226408	2.08	0.99	2.69	-1.7	0.000214	0.0165
"25936"	"chr3"	58305802	58306316	6.4	6.63	6.13	0.5	0.000215	0.0166
"11836"	"chr14"	92135348	92135583	3.19	1.64	3.91	-2.27	0.000215	0.0166
"16210"	"chr17"	48486665	48486899	2.81	1.59	3.46	-1.87	0.000216	0.0166
"11891"	"chr14"	94689397	94689855	5.81	6.16	5.34	0.82	0.000217	0.0166
"13640"	"chr16"	1152701	1153009	3.17	3.74	2.22	1.52	0.000217	0.0166
"3771"	"chr1"	234309986	234310451	6.06	6.33	5.72	0.6	0.000218	0.0166
"15770"	"chr17"	35804728	35805195	5.62	5.15	5.98	-0.83	0.000219	0.0167
"33873"	"chr7"	22500092	22500629	5.52	5.91	5	0.91	0.00022	0.0167
"31585"	"chr6"	16168906	16169227	3.82	3.02	4.34	-1.32	0.00022	0.0167
"25205"	"chr3"	10945373	10946155	5.63	5.97	5.2	0.77	0.000221	0.0167
"11829"	"chr14"	91323407	91324038	5.88	6.18	5.48	0.7	0.000223	0.0169
"19926"	"chr2"	25376553	25377096	6.46	6.89	5.85	1.04	0.000224	0.0169
"16787"	"chr17"	75904725	75905360	6.19	6.49	5.81	0.68	0.000224	0.0169
"20650"	"chr2"	85130949	85131426	3.89	2.98	4.45	-1.46	0.000228	0.0171
"26591"	"chr3"	128170889	128171242	5.14	4.47	5.59	-1.13	0.000232	0.0174
"12393"	"chr15"	39580166	39580808	6.15	6.48	5.73	0.76	0.000232	0.0174
"34077"	"chr7"	34088187	34088462	4.42	3.75	4.88	-1.13	0.000234	0.0175
"23304"	"chr20"	43749704	43750200	6.65	6.95	6.27	0.68	0.000236	0.0176
"32007"	"chr6"	35419558	35419940	3.57	2.57	4.16	-1.59	0.000237	0.0177
"3731"	"chr1"	230773192	230773592	3.56	2.7	4.09	-1.39	0.000239	0.0177
"28926"	"chr4"	150209495	150209835	3.3	2.17	3.92	-1.74	0.00024	0.0178
"31156"	"chr5"	173144885	173145171	4.48	4.96	3.75	1.21	0.00024	0.0178
"8152"	"chr12"	7109118	7109569	6.71	7	6.34	0.66	0.000242	0.0178
"6787"	"chr11"	65078157	65078485	3.99	2.84	4.62	-1.77	0.000242	0.0178
"20805"	"chr2"	96063463	96063728	3.73	3.12	4.16	-1.03	0.000242	0.0178
"12981"	"chr15"	72342452	72342695	3.14	2.29	3.67	-1.38	0.000242	0.0178
"38828"	"chr9"	132412033	132412480	3.78	2.92	4.32	-1.4	0.000243	0.0178
"21630"	"chr2"	171433824	171434177	3.88	4.49	2.79	1.7	0.000244	0.0179
"4208"	"chr10"	24952478	24953137	4.69	5.28	3.69	1.59	0.000245	0.0179
"6432"	"chr11"	44727486	44728192	6.23	6.57	5.77	0.8	0.000248	0.0181
"7353"	"chr11"	96012061	96012317	3.38	2.28	3.99	-1.71	0.00025	0.0182
"4355"	"chr10"	36725568	36725799	3.37	4.01	2.17	1.83	0.00025	0.0182
"13108"	"chr15"	76150986	76151314	5.84	6.22	5.33	0.89	0.000252	0.0183
"24888"	"chr22"	41543774	41544112	5.31	5.74	4.7	1.04	0.000253	0.0183
"10940"	"chr14"	22387188	22387707	4.76	5.16	4.22	0.94	0.000253	0.0183
"22074"	"chr2"	207311303	207311541	3.14	1.79	3.82	-2.03	0.000254	0.0183
"7952"	"chr11"	134050469	134051042	5.91	6.24	5.48	0.77	0.000256	0.0185
"161"	"chr1"	5514328	5514905	6.37	6.62	6.06	0.56	0.000258	0.0186
"15615"	"chr17"	28717588	28717924	3.94	4.39	3.28	1.12	0.000259	0.0186
"37944"	"chr9"	75089019	75089425	2.76	1.53	3.41	-1.87	0.000261	0.0187
"6411"	"chr11"	43947037	43947434	3.25	1.93	3.93	-2	0.000261	0.0187
"35206"	"chr7"	131507681	131508212	6.1	6.39	5.72	0.67	0.000262	0.0187
"32721"	"chr6"	104941221	104941765	5.67	6.05	5.14	0.92	0.000264	0.0189
"37636"	"chr9"	33922010	33922539	4.92	4.35	5.33	-0.98	0.000267	0.019
"27372"	"chr3"	190322196	190322702	5.88	6.24	5.41	0.84	0.000268	0.0191
"8110"	"chr12"	6371062	6371251	2.52	1.54	3.09	-1.55	0.000268	0.0191
"10603"	"chr13"	91348314	91348711	3.03	3.56	2.19	1.37	0.000272	0.0193
"17826"	"chr18"	80171180	80171607	5.54	5.87	5.11	0.76	0.000274	0.0194
"13355"	"chr15"	88246805	88247389	6.22	6.57	5.76	0.8	0.000277	0.0196
"10089"	"chr13"	27171255	27171472	3.53	4.01	2.83	1.18	0.000279	0.0196
"38622"	"chr9"	124839537	124840127	4.42	3.8	4.85	-1.05	0.000279	0.0196
"21249"	"chr2"	130372265	130373002	6.24	6.6	5.75	0.85	0.000281	0.0197
"31584"	"chr6"	16129325	16129852	4.79	5.19	4.25	0.94	0.000283	0.0198
"26085"	"chr3"	72818144	72818423	3.41	2.06	4.09	-2.04	0.000284	0.0199
"825"	"chr1"	28643054	28643326	3.94	4.46	3.1	1.36	0.000284	0.0199
"15160"	"chr17"	3935074	3935373	4.56	3.65	5.12	-1.47	0.000287	0.02
"22410"	"chr2"	231670983	231671536	3.86	3.18	4.32	-1.14	0.000287	0.02
"22224"	"chr2"	219029354	219030047	6.37	6.69	5.96	0.72	0.000288	0.02
"19111"	"chr19"	44903356	44904137	6.68	7.01	6.27	0.74	0.000288	0.02
"16834"	"chr17"	76868097	76868504	5.86	6.21	5.4	0.8	0.000289	0.0201
"888"	"chr1"	31548815	31549661	6.12	6.43	5.72	0.71	0.00029	0.0201
"17710"	"chr18"	63994713	63995410	5.83	6.16	5.4	0.76	0.000291	0.0201
"27353"	"chr3"	188954663	188954978	5.65	5.97	5.25	0.72	0.000294	0.0203
"22158"	"chr2"	216283606	216283890	2.69	1.8	3.24	-1.44	0.000297	0.0204
"4339"	"chr10"	34824912	34825172	2.58	1.7	3.12	-1.42	0.000299	0.0205
"12065"	"chr14"	104650189	104650918	6.76	7.06	6.39	0.66	3e-04	0.0205
"25460"	"chr3"	32467652	32468336	6.29	6.58	5.93	0.65	3e-04	0.0205
"9991"	"chr13"	20495147	20495441	5.62	6.03	5.05	0.98	0.000302	0.0206
"17810"	"chr18"	79246561	79246884	6.46	6.7	6.16	0.54	0.000304	0.0207
"21159"	"chr2"	120885298	120885505	2.05	0.99	2.66	-1.67	0.000304	0.0207
"12340"	"chr15"	34495221	34495510	2.79	1.59	3.43	-1.84	0.000304	0.0207
"7767"	"chr11"	123301583	123302105	5.68	6.02	5.22	0.8	0.000305	0.0207
"14927"	"chr16"	87060060	87060312	3.07	1.98	3.68	-1.7	0.000308	0.0208
"6770"	"chr11"	64723413	64724078	6.64	6.87	6.35	0.52	0.000308	0.0208
"8117"	"chr12"	6537908	6538417	5.72	6.07	5.26	0.81	0.000308	0.0208
